Wavelength(nm)	Intensity
812.369	13690.98
812.409	13611.38
812.449	13369.28
812.488	13194.48
812.528	12898.68
812.568	12592.78
812.608	12527.78
812.647	12326.58
812.687	12308.18
812.727	12451.58
812.767	12737.48
812.806	13018.58
812.846	13216.28
812.886	13553.48
812.925	13669.18
812.965	13657.28
813.005	13474.78
813.044	13100.98
813.084	12699.68
813.124	12137.18
813.163	11674.08
813.203	11264.28
813.242	11018.78
813.282	11046.18
813.322	10889.38
813.361	11153.48
813.401	11545.18
813.44	11933.48
813.48	12336.28
813.519	12679.28
813.559	12713.48
813.598	12623.18
813.638	12525.38
813.677	12244.78
813.717	11767.68
813.756	11128.58
813.796	10766.98
813.835	10153.98
813.875	9959.58
813.914	9781.18
813.953	9895.08
813.993	10018.18
814.032	10123.48
814.072	10439.68
814.111	10719.68
814.15	11078.08
814.19	11189.88
814.229	11230.68
814.268	11033.88
814.308	10833.48
814.347	10383.68
814.386	10151.88
814.426	9810.18
814.465	9598.48
814.504	9126.38
814.543	9090.98
814.583	9200.68
814.622	9254.88
814.661	9380.68
814.7	9523.78
814.74	9683.38
814.779	9899.08
814.818	10009.08
814.857	10010.28
814.896	9823.68
814.936	9776.68
814.975	9640.08
815.014	9268.88
815.053	8973.48
815.092	8932.38
815.131	8690.48
815.17	8596.98
815.209	8542.58
815.249	8637.78
815.288	8684.78
815.327	8795.08
815.366	8870.98
815.405	8909.48
815.444	8860.68
815.483	8997.68
815.522	8878.88
815.561	8755.28
815.6	8644.18
815.639	8405.48
815.678	8265.98
815.717	8164.98
815.756	8068.38
815.795	8008.88
815.834	7947.38
815.873	7853.58
815.912	7837.28
815.95	7871.78
815.989	7849.68
816.028	7729.28
816.067	7726.98
816.106	7605.78
816.145	7646.88
816.184	7495.18
816.223	7400.58
816.261	7324.88
816.3	7139.38
816.339	7049.08
816.378	7005.38
816.417	6939.88
816.455	6900.18
816.494	6899.88
816.533	6825.78
816.572	6711.88
816.61	6670.88
816.649	6544.28
816.688	6509.08
816.727	6507.78
816.765	6445.38
816.804	6310.28
816.843	6310.28
816.881	6233.68
816.92	6210.28
816.959	6215.48
816.997	6137.58
817.036	6149.28
817.075	6107.18
817.113	6048.78
817.152	5981.08
817.19	5904.18
817.229	5930.78
817.267	5838.18
817.306	5818.38
817.345	5852.88
817.383	5711.68
817.422	5740.08
817.46	5629.98
817.499	5714.38
817.537	5674.18
817.576	5608.98
817.614	5610.18
817.653	5507.58
817.691	5499.68
817.73	5392.68
817.768	5426.68
817.806	5340.78
817.845	5307.38
817.883	5289.98
817.922	5176.28
817.96	5233.58
817.998	5195.58
818.037	5172.48
818.075	5127.28
818.114	5074.28
818.152	5003.28
818.19	4995.38
818.229	4849.28
818.267	4848.88
818.305	4716.48
818.343	4645.98
818.382	4494.88
818.42	4434.88
818.458	4450.78
818.497	4535.08
818.535	4517.38
818.573	4486.88
818.611	4540.68
818.649	4509.48
818.688	4485.98
818.726	4385.28
818.764	4270.88
818.802	4176.78
818.84	4051.88
818.879	3852.08
818.917	3851.58
818.955	3864.38
818.993	3556.28
819.031	3526.98
819.069	3506.28
819.107	3551.08
819.145	3608.88
819.183	3644.28
819.222	3703.18
819.26	3722.18
819.298	3793.48
819.336	3697.58
