Wavelength(nm)	Intensity
832.178	769.62
832.212	767.42
832.247	845.52
832.281	808.52
832.316	841.42
832.35	877.02
832.385	837.32
832.419	862.82
832.454	823.22
832.488	806.92
832.522	741.12
832.557	723.22
832.591	693.22
832.626	701.52
832.66	650.52
832.694	705.62
832.729	703.82
832.763	730.52
832.797	762.82
832.832	779.82
832.866	771.22
832.9	797.32
832.935	804.42
832.969	784.82
833.003	753.82
833.038	729.42
833.072	705.32
833.106	704.22
833.14	691.12
833.175	693.92
833.209	685.42
833.243	659.32
833.277	699.72
833.311	712.12
833.346	722.82
833.38	738.02
833.414	757.92
833.448	753.82
833.482	760.02
833.516	731.22
833.551	672.52
833.585	687.62
833.619	660.52
833.653	649.82
833.687	628.52
833.721	690.82
833.755	653.72
833.789	666.12
833.823	681.12
833.857	677.62
833.891	699.42
833.925	693.02
833.959	694.42
833.993	679.72
834.027	680.12
834.061	686.42
834.095	679.12
834.129	704.42
834.163	670.62
834.197	672.32
834.231	629.92
834.265	644.82
834.299	641.62
834.333	665.82
834.367	616.52
834.401	644.52
834.434	620.32
834.468	642.02
834.502	673.02
834.536	630.42
834.57	634.22
834.604	658.82
834.638	655.72
834.671	645.92
834.705	621.22
834.739	590.62
834.773	621.12
834.806	594.52
834.84	598.62
834.874	617.92
834.908	585.52
834.941	614.52
834.975	644.02
835.009	638.22
835.042	612.62
835.076	646.12
835.11	599.02
835.144	594.02
835.177	612.72
835.211	633.92
835.244	629.02
835.278	602.12
835.312	631.12
835.345	607.42
835.379	609.62
835.412	584.52
835.446	610.12
835.48	618.82
835.513	591.12
835.547	601.32
835.58	603.32
835.614	597.62
835.647	583.92
835.681	619.62
835.714	597.62
835.748	598.22
835.781	624.22
835.815	595.02
835.848	628.92
835.882	590.52
835.915	611.42
835.948	597.32
835.982	620.92
836.015	625.42
836.049	618.22
836.082	592.02
836.115	586.42
836.149	585.52
836.182	613.02
836.216	573.12
836.249	596.02
836.282	565.22
836.316	602.22
836.349	607.22
836.382	596.22
836.415	641.42
836.449	632.52
836.482	629.62
836.515	624.12
836.548	595.12
836.582	646.32
836.615	604.82
836.648	596.22
836.681	606.42
836.715	583.12
836.748	587.72
836.781	591.62
836.814	633.72
836.847	588.02
836.88	609.22
836.914	617.02
836.947	614.52
836.98	625.42
837.013	591.72
837.046	654.52
837.079	646.52
837.112	629.42
837.145	645.52
837.178	586.32
