Wavelength(nm)	Intensity
818.573	4437.05
818.611	4450.85
818.649	4313.65
818.688	4366.15
818.726	4302.45
818.764	4178.05
818.802	4200.95
818.84	4133.05
818.879	4036.25
818.917	4012.75
818.955	4164.55
818.993	3874.45
819.031	3843.15
819.069	3744.45
819.107	3776.25
819.145	3735.05
819.183	3641.45
819.222	3637.35
819.26	3652.35
819.298	3549.65
819.336	3461.75
819.374	3502.65
819.412	3436.85
819.45	3418.95
819.488	3365.85
819.526	3294.65
819.564	3292.45
819.602	3251.15
819.64	3246.85
819.678	3198.55
819.715	3122.75
819.753	3162.65
819.791	3082.25
819.829	3056.85
819.867	3043.85
819.905	3036.05
819.943	2996.05
819.981	2991.85
820.019	2955.25
820.056	2855.05
820.094	2940.15
820.132	2846.15
820.17	2911.75
820.208	2855.35
820.246	2785.95
820.283	2809.15
820.321	2780.35
820.359	2689.45
820.397	2601.15
820.434	2626.05
820.472	2631.35
820.51	2581.45
820.548	2542.95
820.585	2511.25
820.623	2480.85
820.661	2518.15
820.698	2410.55
820.736	2400.25
820.774	2411.95
820.811	2313.55
820.849	2308.45
820.887	2357.85
820.924	2249.05
820.962	2254.85
820.999	2233.65
821.037	2181.15
821.075	2145.45
821.112	2123.25
821.15	2088.05
821.187	2052.15
821.225	2050.95
821.262	2029.95
821.3	1935.25
821.337	1955.95
821.375	1952.15
821.412	1884.85
821.45	1814.65
821.487	1889.55
821.525	1828.85
821.562	1767.05
821.6	1769.45
821.637	1762.25
821.675	1722.05
821.712	1713.75
821.749	1678.45
821.787	1657.65
821.824	1628.35
821.862	1614.85
821.899	1585.05
821.936	1569.85
821.974	1534.45
822.011	1534.55
822.048	1517.45
822.086	1485.05
822.123	1554.65
822.16	1490.45
822.197	1487.65
822.235	1478.15
822.272	1396.65
822.309	1441.15
822.346	1401.15
822.384	1497.85
822.421	1394.45
822.458	1383.95
822.495	1351.85
822.533	1379.05
822.57	1376.25
822.607	1328.05
822.644	1319.15
822.681	1347.45
822.718	1328.65
822.756	1305.85
822.793	1340.45
822.83	1310.15
822.867	1274.25
822.904	1272.05
822.941	1289.05
822.978	1282.25
823.015	1268.65
823.052	1250.05
823.089	1251.05
823.126	1286.25
823.163	1204.95
823.2	1251.65
823.237	1183.15
